              week 1                  week 2                week 3                week 4            week 5
0        karlee rose           jason hibbert         shelly louise         deanna murphy                 -
1         ryan leigh         kamila sulewska           candace rae  bethanie badertscher                 -
2   chelsea grimland      jessica sutherland         ariana diabla            elle smith  elizabeth mendez
3     jamie bradford            jillian kaye  tiffany schlumbrecht           bree morgan                 -
4     megan medellin             tali de'mar              ava hart         brandi bryant        amy varela
5     jesse lunderby  jengie beverly zaccheo       samantha buxton        cassandra dawn                 -
6           holly jo         victoria nicole              reby sky          jessica king                 -
7        amber kyler           alexandra rae     jelena timofejeva        erika mayshawn  brittany barbour
8     jessica gamboa            angela marie           titania lyn       rachel lorraine                 -
9        rhian alise      kayleigh elizabeth          casey lauren        nadia marcella                 -
10   jennifer vaughn           kristen pyles         logann brooke       chelsie loraine     jamie madison
11      amanda evans         vanessa robbins         mikaela james          karin noelle                 -
