             week 1              week 2                 week 6                  week 9             week 12
0      einari maria        henri einari            farbod piia             farbod suvi         jarkko suvi
1      henri maxine          henri satu            niko maxine          tiina h farbod        sauli riitta
2      not in house        not in house            maxine piia            tiina h piia         jarkko suvi
3      not in house        not in house           not in house            not in house         suvi jarkko
4      maria einari        henri einari         tiina h farbod            tiina h piia         riitta suvi
5      not in house        not in house            niko maxine             piia farbod         riitta niko
6      not in house        not in house            maxine piia           tiina h sauli    evicted (day 76)
7      maria maxine         satu einari              suvi niko            kadi tiina h    evicted (day 69)
8      not in house        not in house            farbod kadi             farbod kadi    evicted (day 62)
9      maria einari         einari kadi              kadi piia        evicted (day 55)    evicted (day 55)
10     not in house        not in house           not in house         walked (day 49)     walked (day 49)
11     not in house        not in house           kadi tiina h        evicted (day 48)    evicted (day 48)
12       maria kadi          henri satu              niko kadi        evicted (day 41)    evicted (day 41)
13     not in house        not in house       evicted (day 34)        evicted (day 34)    evicted (day 34)
14     maria maxine          henri satu       ejected (day 32)        ejected (day 32)    ejected (day 32)
15       maria satu         kadi einari       evicted (day 27)        evicted (day 27)    evicted (day 27)
16     einari maria        einari henri       evicted (day 20)        evicted (day 20)    evicted (day 20)
17      maria sauli          henri timo       evicted (day 13)        evicted (day 13)    evicted (day 13)
18      satu jarkko         piia jarkko        walked (day 11)         walked (day 11)     walked (day 11)
19        satu kadi     evicted (day 6)        evicted (day 6)         evicted (day 6)     evicted (day 6)
20             none                none                  notes                    none                none
21     einari maria        einari henri  kadi maxine niko timo          farbod tiina h  jarkko riitta suvi
22  maria % to save  einari 0% to evict   maxine - 9% to evict  tiina h - 19% to evict  suvi - 7% to evict
