   Unnamed: 0            week 1             week 2            week 3                week 4            week 5
0     january      ashley engli   claudia nathalia  jamie lee thomas       megan elizabeth    melisa jackson
1    february   megan hauserman      shannon marie     elena daniels            sheena lee                 -
2       march   triana iglesias      jurgita valts       lijon jones           ambra jones                 -
3       april  celine mrazovich         mandy lynn     amanda duncan          shannon shay                 -
4         may      alison foran    breann mcgregor      thea coleman  victoria lynn melody      elisa prevot
5        june    erica campbell      kristin queen    crystal pierce  kristin vye cardenas                 -
6        july  victoria stevens    candice cassidy      brittney cox            nikki rose  stephanie rotuna
7      august  amanda quagliata  shannon sunderlin      laura grillo             anna nava                 -
8   september  kortnie o'connor      jennifer lynn     brandie moses         annie bronson                 -
9     october       candi marie      nancy erminia     cidney carson            debra ling       katie jones
10   november     crystal alice       amanda corey        ashlee jae          roxanne dawn                 -
