                   week 1              week 2           week 3             week 4                 week 5
0             stacy marie       kaya danielle     tawny taylor     samantha pirie  madelon jeanne cullen
1        candice guerrero     veronica lavery   lara leverence        caitlin ann                    NaN
2            morgan reese       dakota rivers     laura nicole       kellie smith                    NaN
3   yevgeniya diordiychuk           lily bart   krystal harlow     miranda jordan                    NaN
4           erin heidrich            paizly c  cassandra marie       lauren elise        elizabeth marxs
5          haley sorenson       erin brittany   nicolette shea      jacinta rokic                    NaN
6           leanna decker     jennifer mccall   brittany alyse      april cheryse                    NaN
7          angela sommers  christine mercedes   andrea leilani         kayla love          jessica vaugn
8             kate hughes      allison taylor  danielle trixie  priscilla caripan                    NaN
9             eden levine     kristen bennett       jade bryce              lilex              bre marie
10             sarah jane     tiffany crystal  shantal monique       eliza carson                    NaN
11              dani dior         brett rossi       tierra lee      kayla bridges                    NaN
