              week 1             week 2            week 3             week 4               week 5
0     jennifer nahra        lana kinear     shamron moore  terri lynn farrow                    -
1         mimi wills      alicia burley         marz hook      madison marie                    -
2     iliana fischer     brianne bailey    danielle devon    nancie tyler le       hazell serrano
3        erin nicole   gabriella broder      tiffany lang   natasha kozakova                    -
4      jessica renee    marina semenova        rose marie       erin fiedler                    -
5   rebecca dipietro      kristin kerry       jackie bean    nicole woodruff  karouna kay sivilay
6          alix agar      kristin novak        sunisa kim      lisa terisita                    -
7      liza hartling         moet meira   vicki karpinski       ashley puida                    -
8      faith maxwell        caitlin ann  katie montgomery    ines alecsandra        ania zalewski
9         amy currie        zoya malyuk      rebecca lynn     gianna dimarco                    -
10       dina rivera  rochelle franklin    farrah mancini     melissa puente                    -
11    amanda melissa          lucy clay   michelle lavoie        amber mross        missi mcglone
